Block,Treatment,Depth,pH,moisture,C,N,Cnratio,Fe2,Fe2and3,Feratio,Fe,Al,Si,Bpi,Bpo,Bt,Npi,Npo,Nt,TP
A,Control,10,4.84,39.5,3.98,0.30,13.5,0.198,2.156,9.2,1.12,0.50,0.15,1.7,4.7,6.4,14.1,63.3,77.4,83.8
A,Control,20,5.09,37.5,2.33,0.19,12.0,0.078,1.098,7.1,0.79,0.47,0.13,1.5,0.6,2.1,9.0,23.3,32.2,34.3
A,Control,30,5.11,36.6,1.87,0.16,12.0,0.076,1.202,6.3,0.56,0.46,0.12,1.2,0.0,1.2,9.7,26.9,36.5,37.7
A,Control,40,4.92,34.2,1.08,0.08,13.0,0.037,0.487,7.6,0.22,0.46,0.11,1.2,0.0,1.2,12.0,20.2,32.2,33.4
A,Control,50,5.02,33.8,0.82,0.06,13.6,0.035,0.425,8.3,0.14,0.46,0.11,1.2,0.0,1.2,21.4,21.6,43.0,44.2
A,Control,60,5.05,32.9,0.67,0.05,13.2,0.018,0.220,8.1,0.08,0.45,0.10,1.2,0.9,2.1,14.6,13.3,27.9,30.0
A,Control,70,4.73,30.2,0.61,0.04,13.9,0.014,0.173,8.0,0.05,0.45,0.10,1.2,0.0,1.2,16.5,13.6,30.1,31.3
A,Control,80,4.99,33.1,0.61,0.05,13.3,0.012,0.125,9.5,0.06,0.47,0.09,1.2,0.0,1.2,18.8,15.6,34.4,35.6
A,Control,90,5.09,34.3,0.65,0.05,13.9,0.014,0.135,10.3,0.07,0.46,0.09,1.2,0.0,1.2,15.3,14.8,30.1,31.3
A,Control,100,5.09,33.8,0.56,0.04,14.0,0.029,0.210,14.0,0.10,0.46,0.08,1.5,0.0,1.5,22.8,37.4,60.2,61.7
A,Debris,10,4.96,34.0,5.90,0.47,12.5,0.078,3.164,2.5,0.94,,,1.7,6.8,8.5,24.0,77.1,101.1,109.7
A,Debris,20,5.10,32.5,2.52,0.22,11.2,0.032,1.723,1.8,0.77,,,1.5,4.9,6.4,13.2,51.3,64.5,70.9
A,Debris,30,5.07,31.4,1.84,0.17,11.1,0.018,0.984,1.8,0.45,,,1.2,3.0,4.2,12.0,39.6,51.6,55.8
A,Debris,40,4.84,30.2,1.07,0.09,11.6,0.024,0.369,6.4,0.27,,,1.2,0.9,2.1,9.2,25.2,34.4,36.5
A,Debris,50,5.11,29.3,0.68,0.06,11.7,0.033,0.373,9.0,0.25,,,1.2,0.9,2.1,9.9,22.3,32.2,34.3
A,Debris,60,5.18,29.2,0.47,0.05,9.3,0.022,0.354,6.2,0.39,,,1.2,0.9,2.1,11.1,21.1,32.2,34.3
A,Debris,70,4.93,28.9,0.51,0.05,11.0,0.016,0.267,6.0,0.23,,,1.2,7.3,8.5,8.5,21.6,30.1,38.6
A,Debris,80,5.16,28.1,0.54,0.05,11.7,0.041,0.377,10.9,0.22,,,1.2,0.9,2.1,11.3,20.9,32.2,34.3
A,Debris,90,4.95,29.7,0.36,0.04,10.1,0.026,0.262,9.8,0.14,,,2.4,0.0,2.4,10.6,13.0,23.6,26.0
A,Debris,100,5.06,29.0,0.24,0.03,9.1,0.018,0.181,9.9,0.10,,,1.2,0.9,2.1,10.1,4.9,15.0,17.1
A,Trim,10,4.92,44.0,4.11,0.32,12.7,0.136,2.444,5.6,1.60,,,1.7,9.0,10.7,19.5,83.8,103.3,114.0
A,Trim,20,5.06,41.2,1.86,0.17,11.1,0.051,0.939,5.4,1.26,,,1.2,3.0,4.2,11.8,37.7,49.4,53.7
A,Trim,30,5.10,38.8,1.44,0.13,11.5,0.041,0.721,5.7,0.89,,,1.5,0.6,2.1,12.5,26.2,38.7,40.8
A,Trim,40,5.30,34.4,0.75,0.07,11.4,0.033,0.708,4.7,0.54,,,1.2,0.9,2.1,10.4,17.5,27.9,30.0
A,Trim,50,5.25,33.4,0.55,0.05,10.8,0.014,0.396,3.5,0.37,,,1.2,0.9,2.1,13.4,16.6,30.1,32.1
A,Trim,60,5.30,34.6,0.55,0.05,10.8,0.025,0.520,4.9,0.49,,,1.2,0.0,1.2,12.3,17.8,30.1,31.3
A,Trim,70,5.26,32.4,0.33,0.03,10.6,0.012,0.331,3.6,0.29,,,1.5,0.6,2.1,13.9,16.2,30.1,32.1
A,Trim,80,5.32,32.2,0.27,0.03,10.5,0.014,0.321,4.3,0.31,,,1.7,2.5,4.2,24.2,16.6,40.8,45.1
A,Trim,90,5.38,31.1,0.20,0.02,10.0,0.010,0.358,2.8,0.25,,,2.2,0.0,2.2,32.4,19.2,51.6,53.8
A,Trim,100,5.46,32.5,0.28,0.03,10.3,0.012,0.310,3.8,0.22,,,1.9,0.2,2.1,25.6,17.4,43.0,45.1
A,Trim+Debris,10,4.97,38.9,4.98,0.43,11.6,0.161,1.844,8.8,0.80,0.48,0.08,1.7,6.8,8.5,24.2,92.0,116.2,124.7
A,Trim+Debris,20,4.93,35.6,2.66,0.25,10.5,0.057,0.850,6.7,0.62,0.48,0.08,1.2,9.5,10.7,14.4,65.2,79.6,90.3
A,Trim+Debris,30,4.96,34.8,2.08,0.20,10.2,0.031,0.381,8.2,0.31,0.45,0.07,1.2,0.9,2.1,9.2,31.6,40.8,42.9
A,Trim+Debris,40,5.01,33.1,1.27,0.13,9.9,0.016,0.235,6.7,0.06,0.44,0.07,1.2,0.0,1.2,10.6,17.3,27.9,29.1
A,Trim+Debris,50,5.09,32.1,1.39,0.14,10.2,0.018,0.204,8.7,0.03,0.44,0.07,1.2,0.0,1.2,14.6,17.6,32.2,33.4
A,Trim+Debris,60,5.19,31.7,0.74,0.08,8.8,0.010,0.170,5.9,0.05,0.44,0.07,1.2,0.0,1.2,24.5,12.1,36.5,37.7
A,Trim+Debris,70,5.13,29.8,0.56,0.07,8.4,0.006,0.168,3.6,0.03,0.45,0.07,1.2,0.9,2.1,23.5,10.9,34.4,36.5
A,Trim+Debris,80,5.11,30.5,0.61,0.07,8.7,0.010,0.187,5.3,0.03,0.44,0.06,1.2,0.9,2.1,24.0,12.5,36.5,38.6
A,Trim+Debris,90,4.82,29.8,0.60,0.07,9.0,0.010,0.196,5.1,0.04,0.44,0.06,1.5,2.8,4.2,29.6,11.2,40.8,45.1
A,Trim+Debris,100,5.06,29.9,0.53,0.06,8.5,0.008,0.166,4.8,0.04,0.44,0.06,1.5,0.6,2.1,40.4,11.2,51.6,53.7
B,Control,10,5.03,38.3,6.13,0.43,14.2,0.614,3.298,18.6,1.21,0.64,0.05,1.7,4.7,6.4,15.1,49.5,64.5,70.9
B,Control,20,5.14,35.4,3.18,0.24,13.4,0.286,2.329,12.3,1.15,0.57,0.04,1.5,2.8,4.2,11.8,42.0,53.8,58.0
B,Control,30,4.98,33.7,2.48,0.18,13.5,0.195,1.733,11.2,0.98,0.52,0.04,1.7,2.5,4.2,10.8,32.1,43.0,47.2
B,Control,40,5.01,32.7,1.88,0.13,13.7,0.082,0.871,9.4,0.87,0.50,0.04,1.5,0.0,1.5,9.2,23.0,32.2,33.7
B,Control,50,5.05,31.8,1.40,0.09,15.0,0.059,0.502,11.7,0.39,0.48,0.04,1.2,0.9,2.1,11.8,24.7,36.5,38.6
B,Control,60,5.13,31.4,0.95,0.06,14.8,0.041,0.389,10.6,0.25,0.46,0.03,1.5,0.0,1.5,16.2,18.1,34.4,35.9
B,Control,70,5.18,32.5,0.58,0.04,13.4,0.033,0.350,9.5,0.06,0.43,0.04,1.2,0.0,1.2,14.6,6.9,21.5,22.7
B,Control,80,5.06,31.1,0.54,0.04,12.3,0.024,0.283,8.3,0.07,0.43,0.04,1.2,0.0,1.2,16.2,7.4,23.6,24.8
B,Control,90,5.42,32.2,0.38,0.04,10.0,0.012,0.243,4.9,0.03,0.42,0.04,1.2,0.0,1.2,16.7,6.9,23.6,24.8
B,Control,100,5.32,32.8,0.54,0.05,11.3,0.012,0.204,5.8,0.06,0.43,0.03,1.2,0.9,2.1,13.4,8.0,21.5,23.5
B,Debris,10,4.98,42.1,7.16,0.41,17.3,0.501,3.559,14.1,1.40,,,1.7,6.8,8.5,20.7,76.1,96.8,105.4
B,Debris,20,5.04,35.8,4.29,0.26,16.3,0.360,3.649,9.9,1.53,,,1.7,4.7,6.4,17.2,56.0,73.1,79.5
B,Debris,30,4.99,40.2,4.18,0.27,15.3,0.335,3.341,10.0,1.51,,,1.5,4.9,6.4,18.6,63.2,81.7,88.1
B,Debris,40,4.94,38.2,3.96,0.25,15.6,0.254,2.474,10.3,1.51,,,1.5,2.8,4.2,16.7,54.3,71.0,75.2
B,Debris,50,4.87,37.0,3.65,0.23,15.8,0.211,2.185,9.7,1.73,,,1.5,4.9,6.4,14.8,47.5,62.4,68.7
B,Debris,60,4.79,36.5,2.91,0.19,15.1,0.194,2.285,8.5,1.98,,,1.2,3.0,4.2,14.1,37.5,51.6,55.8
B,Debris,70,4.82,34.9,1.96,0.13,15.0,0.082,0.817,10.0,1.31,,,1.2,0.9,2.1,14.4,28.6,43.0,45.1
B,Debris,80,4.84,31.5,1.38,0.08,16.4,0.095,1.133,8.4,0.80,,,1.5,0.0,1.5,16.5,15.7,32.2,33.7
B,Debris,90,4.76,29.5,0.70,0.05,14.0,0.029,0.350,8.4,0.16,,,1.7,0.0,1.7,20.0,10.1,30.1,31.8
B,Debris,100,4.76,30.7,0.96,0.07,14.2,0.053,0.494,10.6,0.29,,,1.5,0.0,1.5,17.9,16.5,34.4,35.9
B,Trim,10,4.58,43.8,5.95,0.41,14.4,0.349,3.177,11.0,1.43,,,1.2,5.2,6.4,15.3,47.1,62.4,68.7
B,Trim,20,4.76,42.4,3.72,0.26,14.2,0.165,2.316,7.1,1.77,,,1.2,0.9,2.1,11.3,27.4,38.7,40.8
B,Trim,30,4.64,41.5,3.08,0.21,14.8,0.157,2.507,6.3,1.59,,,1.2,7.3,8.5,9.7,22.6,32.2,40.8
B,Trim,40,4.80,42.0,2.96,0.18,16.4,0.111,1.238,8.9,0.99,,,1.2,7.3,8.5,10.4,30.5,40.8,49.4
B,Trim,50,4.90,41.2,2.71,0.15,18.2,0.076,0.687,11.0,0.97,,,1.5,7.1,8.5,14.1,28.9,43.0,51.5
